sample_id,hex_out,float_out,label,prediction,correct,latency_cycles,latency_us
39,0x0000019b,-6.312500,1,0,0,272,1.360
57,0x0000018f,-7.062500,1,0,0,272,1.360
105,0x00000188,-7.500000,1,0,0,272,1.360
125,0x00000192,-6.875000,1,0,0,272,1.360
289,0x0000019a,-6.375000,1,0,0,272,1.360
331,0x00000191,-6.937500,1,0,0,272,1.360
340,0x00000189,-7.437500,1,0,0,272,1.360
375,0x000001a0,-6.000000,1,0,0,272,1.360
387,0x00000199,-6.437500,1,0,0,272,1.360
443,0x00000199,-6.437500,1,0,0,272,1.360
448,0x0000019f,-6.062500,1,0,0,272,1.360
454,0x0000019a,-6.375000,1,0,0,272,1.360
474,0x00000196,-6.625000,1,0,0,272,1.360
539,0x0000018c,-7.250000,1,0,0,272,1.360
558,0x0000017e,-8.125000,1,0,0,272,1.360
613,0x00000186,-7.625000,1,0,0,272,1.360
626,0x0000019c,-6.250000,1,0,0,272,1.360
675,0x0000010f,-15.062500,1,0,0,272,1.360
834,0x000001a6,-5.625000,0,1,0,272,1.360
837,0x0000019b,-6.312500,1,0,0,272,1.360
921,0x0000017b,-8.312500,1,0,0,272,1.360
933,0x0000018b,-7.312500,1,0,0,272,1.360
966,0x0000019b,-6.312500,1,0,0,272,1.360
